ESTADO;DISTRIBUIDORA;TUSD_FIOB
ACRE;ELETROACRE - AC;
ALAGOAS;CEAL - AL;
AMAPÁ;CEA - AP;
AMAZONAS;AME - AM;
AMAZONAS;CEA - AM;
BAHIA;COELBA - BA;
CEARA;ENEL - CE;
DISTRITO FEDERAL;CELG - DF;
DISTRITO FEDERAL;CEB - DF;
ESPIRITO SANTO;EDP - ES;
ESPIRITO SANTO;ELFSM - ES;
GOIAIS;ENEL - GO;
MARANHÃO;CEMAR - MA;
MATO GROSSO;ENERGISA - MT;
MATO GROSSO DO SUL;ENERGISA - MS;
MINAS GERAIS;CEMIG - MG;0,23276
PARA;CELPA - PA;
PARAIBA;EBO - PB;
PARAIBA;EPB - PB;
PARANÁ;COPEL - PR;0,14341
PERNAMBUCO;CELPE - PE;
PIAUI;CEPISA - PI;
RIO DE JANEIRO;CERAL ARARUAMA - RJ;
RIO DE JANEIRO;ENF - RJ;
RIO DE JANEIRO;CERCI - RJ;
RIO DE JANEIRO;CERES - RJ;
RIO DE JANEIRO;ENEL - RJ;0,24816
RIO DE JANEIRO;LIGHT - RJ;
RIO GRANDE DO NORTE;COSERN - RN;
RIO GRANDE DO SUL;CEEE - RS;
RONDONIA;CERON - RO;
RORAIMA;CERR - RR;
SANTA CATARINA;CELESC - SC;
SÃO PAULO;CPFL - PAULISTA;0,19474
SÃO PAULO;CPFL - PIRATININGA;0,17421
SÃO PAULO;EDP - SP;0,2047
SÃO PAULO;ENEL - SP;0,2214
SÃO PAULO;CPFL SC - SP;
SÃO PAULO;ELEKTRO - SP;0,19562
SERGIPE;CERCOS - SE;
SERGIPE;ESE - SE;
SERGIPE;SULGIPE - SE;
TOCANTIS;CELTINS (ETO) -TO;
TARIFA PERSONALIZADA;TARIFA PERSONALIZADA;
